part_number,DIP16,,,,
class,DISCRETE,,,,
PHYS_DES_PRE,J,,,,
vendor,*,,,,
body_name,DIP16,,,,
jedec_type,DIP16,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,1,UNSPEC,1,Left,30
2,2,UNSPEC,1,Left,28
3,3,UNSPEC,1,Left,26
4,4,UNSPEC,1,Left,24
5,5,UNSPEC,1,Left,22
6,6,UNSPEC,1,Left,20
7,7,UNSPEC,1,Left,18
8,8,UNSPEC,1,Left,16
9,9,UNSPEC,1,Left,14
10,10,UNSPEC,1,Left,12
11,11,UNSPEC,1,Left,10
12,12,UNSPEC,1,Left,8
13,13,UNSPEC,1,Left,6
14,14,UNSPEC,1,Left,4
15,15,UNSPEC,1,Left,2
16,16,UNSPEC,1,Left,0
